Ch1(mA), Ch2(mA), Ch3(mA), Ch4(mA), Ch5(mA), Ch6(mA), Ch7(mA), Ch8(mA), Ch9(mA), Ch10(mA), Ch11(mA), Ch12(mA), Ch13(mA), Ch14(mA), Ch15(mA), Ch16(mA), Channel state, On time, Off time, Pulse number, Pattern, Time, Probeflag
0.06354, 0.1173, 0.09286, 0.09775, 0, 0.2004, 0.07331, 0.1026, 0.1613, 0.4839, 0.04399, 0.4154, 0.1222, 0.1173, 0.3128, 0.04888, 1111111111111111, 50, 70, 55, 1/785, 6.55402684211731, False
0.06354, 0.1222, 0.09286, 0.09775, 0, 0.2053, 0.07331, 0.1026, 0.1662, 0.4888, 0.0391, 0.4203, 0.1222, 0.1222, 0.3177, 0.04888, 1111111111111111, 50, 70, 56, 1/785, 6.675066947937012, False
0.06354, 0.1222, 0.1026, 0.09775, 0, 0.2053, 0.0782, 0.1026, 0.1711, 0.4936, 0.04399, 0.4252, 0.1271, 0.1271, 0.3226, 0.05376, 1111111111111111, 50, 70, 57, 1/785, 6.795609474182129, False
0.06843, 0.1222, 0.09775, 0.1026, 0, 0.2102, 0.0782, 0.1075, 0.1711, 0.4985, 0.04399, 0.4301, 0.1271, 0.1271, 0.3275, 0.05376, 1111111111111111, 50, 70, 58, 1/785, 6.914130449295044, False
0.06843, 0.1222, 0.1026, 0.1026, 0, 0.2151, 0.0782, 0.1075, 0.176, 0.5034, 0.04399, 0.4399, 0.132, 0.1271, 0.3324, 0.05865, 1111111111111111, 50, 70, 59, 1/785, 7.036224365234375, False
0.06843, 0.132, 0.1026, 0.1075, 0, 0.2199, 0.08309, 0.1124, 0.176, 0.5132, 0.04888, 0.4448, 0.1369, 0.132, 0.3324, 0.05376, 1111111111111111, 50, 70, 60, 1/785, 7.1559271812438965, False
0.06843, 0.1271, 0.1075, 0.1075, 0, 0.2199, 0.08309, 0.1173, 0.1808, 0.5132, 0.04399, 0.4497, 0.1369, 0.132, 0.3421, 0.05376, 1111111111111111, 50, 70, 61, 1/785, 7.2760820388793945, False
0.06843, 0.132, 0.1075, 0.1075, 0, 0.2248, 0.08309, 0.1173, 0.1808, 0.523, 0.04399, 0.4545, 0.1417, 0.1369, 0.347, 0.05865, 1111111111111111, 50, 70, 62, 1/785, 7.396802186965942, False
0.06843, 0.1369, 0.1075, 0.1075, 0, 0.2297, 0.08309, 0.1222, 0.1857, 0.5279, 0.04888, 0.4594, 0.1417, 0.1369, 0.347, 0.05865, 1111111111111111, 50, 70, 63, 1/785, 7.516019582748413, False
0.06843, 0.1417, 0.1075, 0.1124, 0, 0.2346, 0.08309, 0.1173, 0.1906, 0.5327, 0.04888, 0.4643, 0.1466, 0.1417, 0.3568, 0.05865, 1111111111111111, 50, 70, 64, 1/785, 7.637638092041016, False
0.06843, 0.1369, 0.1124, 0.1124, 0, 0.2346, 0.08798, 0.1222, 0.1955, 0.5327, 0.05376, 0.4692, 0.1466, 0.1417, 0.3617, 0.06354, 1111111111111111, 50, 70, 65, 1/785, 7.757883548736572, False
0.07331, 0.1417, 0.1124, 0.1173, 0, 0.2395, 0.09286, 0.1222, 0.2004, 0.5376, 0.05376, 0.4741, 0.1515, 0.1466, 0.3666, 0.06354, 1111111111111111, 50, 70, 66, 1/785, 7.876825332641602, False
0.07331, 0.1466, 0.1124, 0.1173, 0, 0.2444, 0.09286, 0.1271, 0.2004, 0.5474, 0.05376, 0.4839, 0.1515, 0.1466, 0.3666, 0.06354, 1111111111111111, 50, 70, 67, 1/785, 7.997901678085327, False
0.07331, 0.1466, 0.1173, 0.1173, 0, 0.2444, 0.09286, 0.1271, 0.2053, 0.5474, 0.05376, 0.4839, 0.1564, 0.1515, 0.3715, 0.06354, 1111111111111111, 50, 70, 68, 1/785, 8.118594646453857, False
0.0782, 0.1515, 0.1222, 0.1222, 0, 0.2493, 0.09286, 0.132, 0.2053, 0.5572, 0.05376, 0.4936, 0.1564, 0.1515, 0.3812, 0.06843, 1111111111111111, 50, 70, 69, 1/785, 8.236959218978882, False
0.0782, 0.1515, 0.1173, 0.1271, 0, 0.2542, 0.09286, 0.132, 0.2102, 0.5572, 0.05376, 0.4985, 0.1613, 0.1564, 0.3861, 0.06843, 1111111111111111, 50, 70, 70, 1/785, 8.358042478561401, False
